MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,F0,ZCR,Gender
-230.02252,161.29611,-47.658054,36.895466,-59.89397,-7.4580927,0.04870391,-39.429367,-2.3373363,-15.831769,-9.996492,-10.137641,-7.550013,-9.821968,-8.203577,2.8231091,-11.719788,-0.32588935,-4.2094803,-6.9157267,242.6929441937036,0.089447021484375,0
-253.55219,193.871,-15.4320545,21.758696,4.7603836,1.4632903,-2.716499,-20.562178,10.5745125,3.1202698,-7.1979713,3.094646,-3.293338,-2.9812624,-9.420799,-10.311859,-1.9509534,-5.1210756,-5.0603905,-3.975938,337.3262818059007,0.0396728515625,0
-257.07977,153.94647,-21.639786,14.738068,-54.48545,-27.058891,-6.468342,-34.95289,-3.3775396,-7.8407416,-11.668246,-1.3606405,-1.6679164,-9.569068,-12.84542,-0.3322742,-2.7981052,5.63192,4.5527387,-10.367167,266.11803712407885,0.05755615234375,0
-248.41156,143.62204,4.324026,86.51686,2.5591898,-8.428949,8.147352,-26.754385,-11.967393,-15.221603,-9.796639,-6.2980537,-11.5490465,-3.4915097,-5.1338444,-1.4681523,-4.338786,-2.525206,-0.24431932,-7.8329887,157.36452204628648,0.02423095703125,1
-219.19702,130.4089,-40.26032,29.772978,-40.93593,-43.756035,5.226062,-14.082896,-5.187211,-10.963795,-12.287243,-10.460043,-17.429943,-6.806035,-20.570564,-23.690481,-4.17036,-3.4668367,-8.254186,0.55500555,357.5379927970644,0.058441162109375,0
-210.34448,162.2782,-42.898186,81.49625,-18.839478,2.3000805,-10.2516775,-23.03302,19.68917,-6.9899583,5.7816377,-8.767657,1.358326,11.652233,-18.73815,-1.9448593,0.7538128,-9.569694,-3.7087135,1.110908,0.0,0.126495361328125,1
-170.81667,213.5448,-45.427757,19.199015,-8.517765,-5.4484835,3.4746356,-12.799131,20.760513,4.335188,-7.234098,3.8508253,0.4527179,1.6220024,-6.3696713,-3.7310605,-5.599786,-9.568221,-2.6079028,-4.3804064,322.71870919618937,0.049896240234375,0
-251.11015,140.39326,28.275928,69.68745,-22.303648,-28.402035,10.799818,-14.915606,-10.352721,-11.869869,-12.1014185,-5.403428,-11.8923235,-11.277447,-1.7994494,-1.7012365,-17.632648,-7.0492334,2.98589,-9.2715645,262.56541616047065,0.025665283203125,0
-200.13881,167.35957,-21.895943,57.68043,-19.961075,16.599953,2.5083199,-30.883404,-8.041777,-5.8952026,10.584988,-13.33102,-7.8490977,5.095685,-4.288552,-0.1250399,-2.5423346,-3.715125,-6.7555285,-4.1261654,132.32775987359722,0.0850830078125,1
-167.46173,158.55766,-51.383057,43.19442,-11.5238905,5.315466,11.414118,-20.695696,23.215008,0.966136,-10.04517,4.0819964,-4.416622,1.9835926,-1.4451389,-2.4628348,-8.739499,-8.6816845,0.03689599,2.8664315,398.1071851292611,0.0755615234375,0
-235.0613,153.79419,-66.46812,34.026016,-40.383354,-28.92249,8.101996,-27.85332,4.090576,-5.8568106,-13.159683,-2.9964519,-15.437519,-4.7658567,-6.4841957,-5.5721426,-3.075188,-1.5270336,10.068855,4.802561,382.7142469644958,0.084381103515625,0
-275.45477,166.28084,5.368888,67.22972,9.180925,-12.628572,-6.122227,-20.96685,-4.9146314,-13.811341,-6.444311,-2.670229,-10.960625,2.830275,1.2320662,-1.3891636,-0.7779063,-2.0576422,-2.4673755,-6.0678434,139.56875858725232,0.07586669921875,1
-275.70032,171.4213,-16.95499,21.530264,-14.278473,8.079099,-8.1409025,-26.807072,0.10430634,-17.603802,-1.6836916,-5.302421,-17.988394,-4.268419,-12.322386,-6.844537,-2.7660844,-8.043091,-3.4410267,-0.49495322,199.30712467343392,0.054107666015625,1
-252.4497,161.94026,-5.8083096,38.13993,-0.75165224,-33.967903,-9.2216,-17.535053,-11.958353,-9.977103,-17.76809,-6.027107,-3.334478,-3.198411,1.3338251,-7.380931,-13.003534,-5.932872,-7.168173,-10.569826,284.1249459618415,0.042205810546875,0
-265.1942,159.9784,-15.7959175,58.90645,-3.036107,-14.313036,-3.017898,-26.58428,-9.362869,-15.161261,1.6447542,-1.6514955,-27.569302,5.1366787,7.6437545,-24.744965,-3.661192,13.084784,-15.467318,-3.952416,228.8635848200228,0.050567626953125,1
-266.65277,188.30339,22.309052,19.695847,-6.5496354,-18.942022,-6.8585663,-11.370781,-4.4326186,-5.118803,-6.4599457,-4.0054245,-1.6129061,6.343556,-2.9822562,-11.490953,-4.883499,-5.759246,-8.080774,-5.9073486,159.65770972049373,0.026458740234375,1
-245.02676,141.20667,15.157149,109.92427,-29.811481,-11.590311,-0.53261876,-35.0626,5.776555,-5.42479,-3.47686,-2.0639343,-4.1608105,-4.922853,-8.428932,4.6201973,-2.0980906,-2.6619997,4.0979633,2.2855372,0.0,0.0963134765625,0
-203.8804,169.29552,-51.5049,63.809776,-15.719337,-9.9534,4.2880073,-36.292244,-7.638719,-11.98229,-7.571384,-15.579319,-18.464079,-1.380997,-19.11935,-14.013708,-8.350782,-12.117078,-6.264807,-7.8925033,0.0,0.094696044921875,1
-216.83809,115.796974,-30.273418,106.57646,-1.8903861,-9.118344,8.942923,-19.790276,-3.499614,-23.040367,-14.272956,-12.87078,-10.540867,-1.81577,-20.035168,-10.006805,-0.942472,-12.670706,-11.94545,-1.8953259,192.4915803238424,0.09259033203125,1
-194.68018,135.78864,-44.71335,59.253372,-50.633965,-17.634226,-5.1346164,-30.579288,10.291672,-19.074991,-10.585861,-3.3575895,-15.012325,-12.356695,-7.9308405,6.383277,-4.2681093,-2.3413198,-0.6081407,-8.600706,301.3869111924529,0.112762451171875,0
-287.39288,117.10962,-20.16251,23.534855,-7.9494877,-46.72463,-23.436676,-18.175652,-15.362991,-14.8824005,-11.342859,5.2921314,7.527128,5.348118,6.3310337,1.7007422,4.677009,14.499948,5.1512113,-13.620475,564.9157708987483,0.063079833984375,0
